 ,Area,Mean,Min,Max
565,217,255,255,255
566,61,255,255,255
567,56,255,255,255
568,74,255,255,255
569,67,255,255,255
570,60,255,255,255
571,86,255,255,255
572,119,255,255,255
573,91,255,255,255
574,53,255,255,255
575,105,255,255,255
576,79,255,255,255
577,66,255,255,255
578,61,255,255,255
579,59,255,255,255
580,80,255,255,255
581,81,255,255,255
582,91,255,255,255
583,66,255,255,255
584,51,255,255,255
585,57,255,255,255
586,179,255,255,255
587,108,255,255,255
588,64,255,255,255
589,52,255,255,255
590,81,255,255,255
591,73,255,255,255
592,108,255,255,255
593,218,255,255,255
594,53,255,255,255
595,101,255,255,255
596,91,255,255,255
597,74,255,255,255
598,75,255,255,255
599,52,255,255,255
600,116,255,255,255
601,104,255,255,255
602,131,255,255,255
603,71,255,255,255
604,78,255,255,255
605,117,255,255,255
606,366,255,255,255
607,99,255,255,255
608,54,255,255,255
609,146,255,255,255
610,54,255,255,255
611,59,255,255,255
612,194,255,255,255
613,349,255,255,255
614,72,255,255,255
615,86,255,255,255
616,54,255,255,255
617,76,255,255,255
618,124,255,255,255
619,213,255,255,255
620,869,255,255,255
621,122,255,255,255
622,160,255,255,255
623,165,255,255,255
624,75,255,255,255
625,166,255,255,255
626,146,255,255,255
627,50,255,255,255
628,273,255,255,255
629,123,255,255,255
630,127,255,255,255
631,126,255,255,255
632,62,255,255,255
633,74,255,255,255
634,72,255,255,255
635,59,255,255,255
636,85,255,255,255
637,65,255,255,255
638,126,255,255,255
639,89,255,255,255
640,54,255,255,255
641,118,255,255,255
642,74,255,255,255
643,241,255,255,255
644,124,255,255,255
645,62,255,255,255
646,119,255,255,255
647,82,255,255,255
648,59,255,255,255
649,53,255,255,255
650,82,255,255,255
651,93,255,255,255
652,107,255,255,255
653,119,255,255,255
654,76,255,255,255
655,52,255,255,255
656,114,255,255,255
657,634,255,255,255
658,56,255,255,255
659,85,255,255,255
660,77,255,255,255
661,53,255,255,255
662,223,255,255,255
663,99,255,255,255
664,61,255,255,255
665,928,255,255,255
666,124,255,255,255
667,86,255,255,255
668,330,255,255,255
669,167,255,255,255
670,68,255,255,255
671,77,255,255,255
672,55,255,255,255
673,206,255,255,255
674,51,255,255,255
675,152,255,255,255
676,53,255,255,255
677,266,255,255,255
678,95,255,255,255
679,58,255,255,255
680,95,255,255,255
681,74,255,255,255
682,114,255,255,255
683,158,255,255,255
684,116,255,255,255
685,111,255,255,255
686,156,255,255,255
687,189,255,255,255
688,177,255,255,255
689,64,255,255,255
690,58,255,255,255
691,297,255,255,255
692,158,255,255,255
693,53,255,255,255
694,612,255,255,255
695,178,255,255,255
696,123,255,255,255
697,85,255,255,255
698,141,255,255,255
699,54,255,255,255
700,189,255,255,255
701,62,255,255,255
702,57,255,255,255
703,77,255,255,255
704,84,255,255,255
705,82,255,255,255
706,64,255,255,255
707,56,255,255,255
708,81,255,255,255
709,95,255,255,255
710,76,255,255,255
711,81,255,255,255
712,73,255,255,255
713,96,255,255,255
714,54,255,255,255
715,84,255,255,255
716,78,255,255,255
717,135,255,255,255
718,175,255,255,255
719,55,255,255,255
720,63,255,255,255
721,66,255,255,255
722,329,255,255,255
723,56,255,255,255
724,155,255,255,255
725,85,255,255,255
726,145,255,255,255
727,52,255,255,255
728,59,255,255,255
729,179,255,255,255
730,77,255,255,255
731,51,255,255,255
732,61,255,255,255
733,59,255,255,255
734,88,255,255,255
735,105,255,255,255
736,95,255,255,255
737,475,255,255,255
738,113,255,255,255
739,75,255,255,255
740,76,255,255,255
741,76,255,255,255
742,110,255,255,255
743,166,255,255,255
744,171,255,255,255
745,76,255,255,255
746,83,255,255,255
747,73,255,255,255
748,150,255,255,255
749,100,255,255,255
750,69,255,255,255
751,98,255,255,255
752,141,255,255,255
753,119,255,255,255
754,88,255,255,255
755,51,255,255,255
756,87,255,255,255
757,77,255,255,255
758,76,255,255,255
759,116,255,255,255
760,71,255,255,255
761,62,255,255,255
762,218,255,255,255
763,84,255,255,255
764,94,255,255,255
765,83,255,255,255
766,50,255,255,255
767,64,255,255,255
768,83,255,255,255
769,85,255,255,255
770,95,255,255,255
771,55,255,255,255
772,79,255,255,255
773,145,255,255,255
774,59,255,255,255
775,52,255,255,255
776,55,255,255,255
777,78,255,255,255
778,164,255,255,255
779,50,255,255,255
780,154,255,255,255
781,98,255,255,255
782,72,255,255,255
783,383,255,255,255
784,133,255,255,255
785,130,255,255,255
786,170,255,255,255
787,81,255,255,255
788,113,255,255,255
789,86,255,255,255
790,58,255,255,255
791,144,255,255,255
792,52,255,255,255
793,90,255,255,255
794,70,255,255,255
795,100,255,255,255
796,260,255,255,255
797,60,255,255,255
798,117,255,255,255
799,52,255,255,255
800,56,255,255,255
801,91,255,255,255
802,60,255,255,255
803,91,255,255,255
804,117,255,255,255
805,53,255,255,255
806,134,255,255,255
807,105,255,255,255
808,63,255,255,255
809,58,255,255,255
810,59,255,255,255
811,178,255,255,255
812,56,255,255,255
813,112,255,255,255
814,63,255,255,255
815,97,255,255,255
816,62,255,255,255
817,128,255,255,255
818,68,255,255,255
819,61,255,255,255
820,77,255,255,255
821,74,255,255,255
822,112,255,255,255
823,327,255,255,255
824,76,255,255,255
825,85,255,255,255
826,50,255,255,255
827,66,255,255,255
828,140,255,255,255
829,103,255,255,255
830,139,255,255,255
831,62,255,255,255
832,245,255,255,255
833,154,255,255,255
834,80,255,255,255
835,50,255,255,255
836,56,255,255,255
837,50,255,255,255
838,53,255,255,255
839,58,255,255,255
840,73,255,255,255
841,59,255,255,255
842,67,255,255,255
843,92,255,255,255
844,188,255,255,255
845,213,255,255,255
846,64,255,255,255
847,67,255,255,255
848,120,255,255,255
849,51,255,255,255
850,101,255,255,255
851,75,255,255,255
852,53,255,255,255
853,72,255,255,255
854,137,255,255,255
855,86,255,255,255
856,54,255,255,255
857,69,255,255,255
858,51,255,255,255
859,104,255,255,255
860,255,255,255,255
861,54,255,255,255
862,53,255,255,255
863,58,255,255,255
864,125,255,255,255
865,108,255,255,255
866,150,255,255,255
867,213,255,255,255
868,68,255,255,255
869,160,255,255,255
870,121,255,255,255
871,51,255,255,255
872,54,255,255,255
873,108,255,255,255
874,102,255,255,255
875,54,255,255,255
876,87,255,255,255
877,66,255,255,255
878,79,255,255,255
879,73,255,255,255
880,66,255,255,255
881,50,255,255,255
882,61,255,255,255
883,125,255,255,255
884,146,255,255,255
885,70,255,255,255
886,133,255,255,255
887,114,255,255,255
888,134,255,255,255
889,118,255,255,255
890,58,255,255,255
891,53,255,255,255
892,132,255,255,255
893,63,255,255,255
894,67,255,255,255
895,53,255,255,255
896,103,255,255,255
897,82,255,255,255
898,101,255,255,255
899,64,255,255,255
900,208,255,255,255
901,140,255,255,255
902,56,255,255,255
903,106,255,255,255
904,90,255,255,255
905,71,255,255,255
906,103,255,255,255
907,77,255,255,255
908,53,255,255,255
909,168,255,255,255
910,85,255,255,255
911,86,255,255,255
912,77,255,255,255
913,58,255,255,255
914,117,255,255,255
915,66,255,255,255
916,612,255,255,255
917,72,255,255,255
918,71,255,255,255
919,58,255,255,255
920,54,255,255,255
921,83,255,255,255
922,136,255,255,255
923,50,255,255,255
924,67,255,255,255
925,55,255,255,255
926,65,255,255,255
927,85,255,255,255
928,95,255,255,255
929,102,255,255,255
930,60,255,255,255
931,66,255,255,255
932,102,255,255,255
933,62,255,255,255
934,57,255,255,255
935,58,255,255,255
936,50,255,255,255
937,102,255,255,255
938,60,255,255,255
939,200,255,255,255
940,75,255,255,255
941,137,255,255,255
942,55,255,255,255
